Title,Abstract,Authors,Journal,DOI
Immunoglobulin Light Chain Amyloidosis: Diagnosis and Risk Assessment.,"Immunoglobulin light chain (AL) amyloidosis is a clonal plasma cell disorder with multiple clinical presentations. The diagnosis of AL amyloidosis requires a high index of suspicion, making a delay in diagnosis common, which contributes to the high early mortality seen in this disease. Establishing the diagnosis of AL amyloidosis requires the demonstration of tissue deposition of amyloid fibrils. A bone marrow biopsy and fat pad aspirate performed concurrently have a high sensitivity for the diagnosis of AL amyloidosis and negate the need for organ biopsies in most patients. An accurate diagnosis requires amyloid typing via additional testing, including tissue mass spectrometry. Prognostication for AL amyloidosis is largely driven by the organs impacted. Cardiac involvement represents the single most important prognostic marker, and the existing staging systems are driven by cardiac biomarkers. Apart from organ involvement, plasma cell percentage on the bone marrow biopsy, specific fluorescence in situ hybridization findings, age at diagnosis, and performance status are important prognostic markers. This review elaborates on the diagnostic testing and prognostication for patients with newly diagnosed AL amyloidosis.","Zanwar S, Gertz MA, Muchtar E",J Natl Compr Canc Netw. 2023 Jan;21(1):83-90. doi: 10.6004/jnccn.2022.7077.,10.6004/jnccn.2022.7077 [doi]
Blood mass spectrometry detects residual disease better than standard techniques in light-chain amyloidosis.,"In patients with immunoglobulin light-chain (AL) amyloidosis, depth of hematologic response correlates with both organ response and overall survival. Our group has demonstrated that screening with a matrix-assisted laser desorption/ionization-time-of-flight (TOF) mass spectrometry (MS) is a quick, sensitive, and accurate means to diagnose and monitor the serum of patients with plasma cell disorders. Microflow liquid chromatography coupled with electrospray ionization and quadrupole TOF MS adds further sensitivity. We identified 33 patients with AL amyloidosis who achieved amyloid complete hematologic response, who also had negative bone marrow by six-color flow cytometry, and who had paired serum samples to test by MS. These samples were subjected to blood MS. Four patients (12%) were found to have residual disease by these techniques. The presence of residual disease by MS was associated with a poorer time to progression (at 50 months 75% versus 13%, p = 0.003). MS of the blood out-performed serum and urine immunofixation, the serum immunoglobulin free light chain, and six-color flow cytometry of the bone marrow in detecting residual disease. Additional studies that include urine MS and next-generation techniques to detect clonal plasma cells in the bone marrow will further elucidate the full potential of this technique.","Dispenzieri A, Arendt B, Dasari S, Kohlhagen M, Kourelis T, Kumar SK, Leung N, Muchtar E, Buadi FK, Warsame R, Kyle RA, Lacy MQ, Dingli D, Kapoor P, Gonsalves WI, Go RS, Hayman SR, Hwa YL, Fonder A, Hobbs M, Jevremovic D, Lust JA, Zeldenrust S, Russell SJ, Rajkumar SV, Gertz MA, Murray D",Blood Cancer J. 2020 Feb 25;10(2):20. doi: 10.1038/s41408-020-0291-8.,10.1038/s41408-020-0291-8 [pii]
A novel risk score to predict survival in advanced heart failure due to cardiac amyloidosis.,"BACKGROUND: Cardiac amyloidosis, caused by deposition of immunoglobulin light chains (AL) or transthyretin (ATTR), carries a poor prognosis. Established risk scores for amyloidosis may not predict outcomes in those patients who develop advanced heart failure and who are potential candidates for heart transplantation. Here, we aimed to identify predictive parameters for patients with severe heart failure due to amyloidosis. METHODS: Out of > 1000 patients with cardiac amyloidosis (AL or ATTR) admitted to our centre between September 1998 and January 2016, a cohort of 120 patients with a complete cardiac assessment at diagnosis, including right heart catheterization, echocardiography and biomarkers, was analysed retrospectively in this study. Primary endpoint was all-cause mortality. We performed univariate and multivariate Cox regression analysis, generated risk scores to predict outcomes in AL and ATTR amyloidosis and compared those to established risk models for amyloidosis. RESULTS: In the Cox multivariate model, high-sensitivity troponin T (hsTnT; hazard ratio (HR) 1.003; confidence interval (CI) 1.001-1.005; p = 0.009) and mean pulmonary artery pressure (HR 1.061; CI 1.024-1.100; p = 0.001) were found to significantly and independently predict outcomes for AL amyloidosis, whereas QRS duration (HR 1.021; CI 1.004-1.039; p = 0.013), hsTnT (HR 1.021; CI 1.006-1.036; p = 0.006) and N-terminal pro-brain natriuretic peptide (HR 1.0003; CI 1.0001-1.0004; p = 0.002) were the best predictors for ATTR amyloidosis. A simple risk score (""HeiRisk"") including these parameters for AL and ATTR allowed a more precise risk stratification in our patient population compared to established risk models. CONCLUSIONS: Risk stratification for cardiac amyloidosis with the newly developed ""HeiRisk"" score may be superior to other staging systems for patients with advanced heart failure due to amyloid cardiomyopathy.","Kreusser MM, Volz MJ, Knop B, Ehlermann P, Schmack B, Ruhparwar A, Hegenbart U, Schönland SO, Katus HA, Raake PW",Clin Res Cardiol. 2020 Jun;109(6):700-713. doi: 10.1007/s00392-019-01559-y. Epub 2019 Oct 19.,10.1007/s00392-019-01559-y [pii]
Soluble B-cell maturation antigen as a monitoring marker for multiple myeloma.,"Objective: Response to treatment in multiple myeloma (MM) is routinely measured by serum and urine M-protein and free light chain (FLC), as described by the International Myeloma Working Group (IMWG) consensus statement. A non-negligible subgroup of patients however present without measurable biomarkers, others become oligo or non-secretory during recurrent relapses. The aim of our research was to evaluate soluble B-cell maturation antigen (sBCMA) as a monitoring marker measured concurrent with the standard monitoring in MM patients at diagnosis, at relapse and during follow up, in order to establish its potential usefulness in oligo and non-secretory disease. Method: sBCMA levels were measured in 149 patients treated for plasma cell dyscrasia (3 monoclonal gammopathy of unknown significance, 5 smoldering myeloma, 7 plasmacytoma, 8 AL amyloidosis and 126 MM) and 16 control subjects using a commercial ELISA kit. In 43 newly diagnosed patients sBCMA levels were measured at multiple timepoints during treatment, and compared to conventional IMWG response and progression free survival (PFS). Results: sBCMA levels among control subjects were significantly lower than among newly diagnosed or relapsed MM patients [20.8 (14.7-38.7) ng/mL vs. 676 (89.5-1,650) and 264 (20.7-1,603) ng/mL, respectively]. Significant correlations were found between sBCMA and the degree of bone marrow plasma cell infiltration. Out of the 37 newly diagnosed patients who have reached partial response or better per IMWG criteria, 33 (89%) have had at least a 50% drop in sBCMA level by therapy week 4. Cohorts made similarly to IMWG response criteria-achieving a 50% or 90% drop in sBCMA levels compared to level at diagnosis-had statistically significant differences in PFS. Conclusion: Our results confirmed that sBCMA levels are prognostic at important decision points in myeloma, and the percentage of BCMA change is predictive for PFS. This highlights the great potential use of sBCMA in oligo- and non-secretory myeloma.","Wiedemann Á, Szita VR, Horváth R, Szederjesi A, Sebő A, Tóth AD, Masszi T, Varga G",Pathol Oncol Res. 2023 Apr 28;29:1611171. doi: 10.3389/pore.2023.1611171. eCollection 2023.,1611171 [pii]
MRI feature tracking strain is prognostic for all-cause mortality in AL amyloidosis.,"OBJECTIVES: Cardiac involvement is a major determinate of mortality in light chain (AL) amyloidosis. Cardiac magnetic resonance imaging (MRI) feature tracking (FT) strain is a new method for measuring myocardial strain. This study retrospectively evaluated the association of MRI FT strain with all-cause mortality in AL amyloidosis. MATERIALS AND METHODS: Seventy-six patients with newly diagnosed AL amyloidosis underwent cardiac MRI. 75 had images suitable for MRI FT strain analysis. MRI delayed enhancement, morphologic and functional evaluation, cardiac biomarker staging and transthoracic echocardiography were also performed. Subjects' charts were reviewed for all-cause mortality. Cox proportional hazards analysis was used to evaluate survival in univariate and multivariate analysis. RESULTS: There were 52 deaths. Median follow-up of surviving patients was 1.7 years. In univariate analysis, global radial (Hazard Ratio (HR) = 0.95, p <.01), circumferential (HR = 1.09, p < .01) and longitudinal (HR = 1.08, p < .01) strain were associated with all-cause mortality. In separate multivariate models, radial (HR = 0.96, p = .02), circumferential (HR = 1.09, p = .03) and longitudinal strain (HR = 1.07, p = .04) remained prognostic when combined with presence of biomarker stage 3. CONCLUSIONS: MRI FT strain is associated with all-cause mortality in patients with AL amyloidosis.","Illman JE, Arunachalam SP, Arani A, Chang IC, Glockner JF, Dispenzieri A, Grogan M, Araoz PA",Amyloid. 2018 Jun;25(2):101-108. doi: 10.1080/13506129.2018.1465406. Epub 2018 May 7.,10.1080/13506129.2018.1465406 [doi]
Epidemiology of AL amyloidosis: a real-world study using US claims data.,"Amyloid light-chain (AL) amyloidosis is a rare disease caused by extracellular deposition of misfolded immunoglobulin light chains. This study aimed to provide an up-to-date estimate of prevalence and incidence of AL amyloidosis in the United States. Using claims databases from years 2007 to 2015, adults ≥18 years old with AL amyloidosis were included if they had (1) at least 1 inpatient or 2 outpatient claims consistent with AL amyloidosis and (2) received 1 AL-specific treatment. Prevalence was calculated as the number of AL patients divided by the number of enrollees on June 30th of each calendar year. Incidence was calculated as the number of patients with AL who were disease-free and enrolled with a health plan for 1 year prior, divided by the number of enrollees with enrollment from July 1st of the previous year to June 30th of each calendar year. The prevalence of AL amyloidosis increased significantly between 2007 and 2015, from 15.5 cases per million in 2007 to 40.5 in 2015, an annual percentage change (APC) of 12% (P < .001). The incidence ranged from 9.7 to 14.0 cases per million person-years (APC, 3%; P = .114) with no statistically significant increase. There was an increase in AL amyloidosis prevalence over a 9-year period coupled with stable incidence rates. Although there is no diagnosis code specific to AL amyloidosis and no validated method for identifying this condition using claims data, extrapolating from our data, there are at least 12 000 adults in the United States living with AL amyloidosis, and the number seems likely to rise.","Quock TP, Yan T, Chang E, Guthrie S, Broder MS",Blood Adv. 2018 May 22;2(10):1046-1053. doi: 10.1182/bloodadvances.2018016402.,bloodadvances.2018016402 [pii]
"Myocardial Characteristics, Cardiac Structure, and Cardiac Function in Systemic Light-Chain Amyloidosis.","BACKGROUND: In systemic light-chain (AL) amyloidosis, cardiac involvement portends poor outcomes. OBJECTIVES: The authors' objectives were to detect early myocardial alterations, to analyze longitudinal changes with therapy, and to predict major adverse cardiac events (MACE) in participants with AL amyloidosis using cardiac magnetic resonance imaging (MRI). METHODS: Recently diagnosed participants were prospectively enrolled. AL amyloidosis with and without cardiomyopathy (AL-CMP, AL-non-CMP) were defined based on abnormal cardiac biomarkers and wall thickness. MRI was performed at baseline, 6 months in all participants, and 12 months in participants with AL-CMP. MACE were defined as all-cause death, heart failure hospitalization, and cardiac transplantation. Mayo stage was based on troponin T, N-terminal pro-B-type natriuretic peptide, and difference in free light chains. RESULTS: This study included 80 participants (median age 62 years, 58% men). Extracellular volume (ECV) was abnormal (>32%) in all participants with AL-CMP and in 47% of those with AL-non-CMP. ECV tended to increase at 6 months (median +2%; AL-CMP P = 0.120; AL-non-CMP P = 0.018) and returned to baseline values at 12 months in participants with AL-CMP. Global longitudinal strain (GLS) improved at 6 months (median -0.6%; P = 0.048) and 12 months (median -1.2%; P < 0.001) in participants with AL-CMP. ECV and GLS were strongly associated with MACE (P < 0.001) and improved the prognostic value when added to Mayo stage (P ≤ 0.002). No participant with ECV ≤32% had MACE, while 74% of those with ECV >48% had MACE. CONCLUSIONS: In patients with systemic AL amyloidosis, ECV detects subclinical myocardial alterations. With therapy, ECV tends to increase at 6 months and returns to values unchanged from baseline at 12 months, whereas GLS improves at 6 and 12 months in participants with AL-CMP. ECV and GLS offer additional prognostic performance over Mayo stage. (Molecular Imaging of Primary Amyloid Cardiomyopathy [MICA]; NCT02641145).","Clerc OF, Cuddy SAM, Jerosch-Herold M, Benz DC, Katznelson E, Canseco Neri J, Taylor A, Kijewski MF, Bianchi G, Ruberg FL, Di Carli MF, Liao R, Kwong RY, Falk RH, Dorbala S",JACC Cardiovasc Imaging. 2024 Nov;17(11):1271-1286. doi: 10.1016/j.jcmg.2024.05.004. Epub 2024 Jul 10.,S1936-878X(24)00193-1 [pii]
Clinical experience of a systemic algorithm for diagnosis of cardiac amyloidosis.,"INTRODUCTION: Cardiac amyloidosis is an underdiagnosed disease, and its prevalence is probably higher than previously estimated. We aimed to investigate the effect of introducing a systemic diagnostic algorithm for cardiac amyloidosis in clinical practice. METHODS: A systematic diagnostic algorithm was developed and clinically applied in two hospitals in Eastern Denmark. Elderly patients (males > 60 years, females > 70 years) with left ventricular hypertrophy (≥ 12 mm) and diastolic dysfunction leading to a suspicion of cardiac amyloidosis were referred for standardised workup, including biochemistry and bone scintigraphy. RESULTS: A total of 224 patients (median age 76 years (70-83); 65% males) were included in the analysis. In total, 43 (19%) patients (84% males) were diagnosed with cardiac amyloidosis. Among the 43 diagnosed patients, 38 had transthyretin wild-type amyloidosis, one had the hereditary form and four had monoclonal-immunoglobulin-light-chain amyloidosis. Patients with cardiac amyloidosis were significantly older (81 versus 75 years old, p less-than 0.001) and more often male (84% versus 61%, p = 0.004) than the overall screened population. CONCLUSIONS: Systematic screening for cardiac amyloidosis in older patients with cardiac hypertrophy and echocardiographic signs of diastolic dysfunction is feasible and shows a diagnostic yield of 19% in the assessed population. FUNDING: None. TRIAL REGISTRATION: Not relevant.","Tarp JB, Elming MB, Marner L, Haarmark C, Christensen AH, Thune JJ",Dan Med J. 2025 Aug 7;72(9):A11240771. doi: 10.61409/A11240771.,A11240771 [pii]
High-Sensitivity and Conventional Cardiac Troponin-I Assays in AL Amyloidosis.,"BACKGROUND: Circulating cardiac troponin-I (cTnI) plays a crucial role in biomarker staging systems, offering important information for prognostification and risk stratification of patients with AL amyloidosis. High-sensitivity cTnI (HS-cTnI) assays have been introduced in practice; however, the data on the concordance between conventional and HS-cTnI and the utility of HS-cTnI in cardiac biomarker staging are lacking. METHODS: Seventy-eight consecutive patients with AL amyloidosis who were prospectively evaluated at the Boston University Amyloidosis Center from October 2022 through March 2023 were included. cTnI was measured using the Abbott Architect cTnI chemiluminescent microparticle immunoassay (CMIA) and HS-cTnI using the Abbott Alinity HS-cTnI CMIA assay. Assay results were compared by Deming regression and Bland-Altman analyses, and cardiac biomarker stages were assigned and compared using both assay results. RESULTS: Median cTnI and HS-cTnI concentrations were 13.0 and 7.0 ng/L, respectively. Bland-Altman analysis demonstrated a negative bias with HS-cTnI results (mean percent difference between assays: -49.8%) and the greatest variance occurring below 50 ng/L. Deming regression supported this negative discordance (slope, 0.66; intercept, -1.9). The use of HS-cTnI assay downgraded cardiac biomarker staging assignments from stage IIIA to stage II (n = 3) and from stage IIIB to stage II (n = 1). CONCLUSIONS: Overall agreement was demonstrated; however, a negative bias for HS-cTnI assay was noted at low concentrations. The application of the conventional cTnI threshold of >100 ng/L to HS-cTnI-based Boston University cardiac staging showed a trend toward downgraded staging assignments. The prognostic utility of HS-cTnI assay in biomarker staging warrants further investigation in patients with AL amyloidosis.","Dodge MC, Prokaeva T, Mendelson L, Joshi T, Sanchorawala V, Kataria Y",J Appl Lab Med. 2025 Mar 3;10(2):315-324. doi: 10.1093/jalm/jfae111.,7874933 [pii]
"Light Chain Amyloidosis: Epidemiology, Staging, and Prognostication.","Amyloidosis is a disorder of protein misfolding and metabolism in which insoluble fibrils are deposited in various tissues, causing organ dysfunction and eventually death. Out of the 60-plus heterogeneous amyloidogenic proteins that have been identified, approximately 30 are associated with human disease. The unifying feature of these proteins is their tendency to form beta-pleated sheets aligned in an antiparallel fashion. These sheets then form rigid, nonbranching fibrils that resist proteolysis, causing mechanical disruption and local oxidative stress in affected organs such as the heart, liver, kidneys, nervous system, and gastrointestinal tract. Here we review the epidemiology of light chain amyloidosis, the staging, and the concomitant prognostication that is critical in determining the appropriate treatment.",Baker KR,Methodist Debakey Cardiovasc J. 2022 Mar 14;18(2):27-35. doi: 10.14797/mdcvj.1070. eCollection 2022.,10.14797/mdcvj.1070 [doi]
Efficacy of Chemotherapy for Light-Chain Amyloidosis in Patients Presenting With Symptomatic Heart Failure.,"BACKGROUND: Light-chain amyloidosis (AL) with cardiac involvement carries a poor prognosis; median untreated survival is <6 months. Three-drug therapy with bortezomib, dexamethasone, and an alkylating agent (BDex+AA) is associated with improved biomarker response rates in AL amyloidosis. OBJECTIVES: This study sought to evaluate the effect of BDex+AA as a first-line treatment strategy on mortality in patients with symptomatic heart failure from AL cardiac amyloidosis. METHODS: Patients newly diagnosed with symptomatic New York Heart Association (NYHA) functional class ≥II heart failure due to AL amyloidosis were retrospectively studied. Initial treatment strategy was adjudicated and propensity score analysis was used to adjust for the nonrandomized allocation of treatments. Survival was assessed using a Cox proportional hazards model after adjusting for the propensity score for receiving treatment, age, NYHA functional class, and ejection fraction. RESULTS: Among 106 treated patients (age 64.6 ± 11.3 years, 63% male, 76% lambda subtype), 40 received the 3-drug regimen and 66 received other regimens. Mortality was 65% overall, 48% in the BDex+AA cohort (median survival time 821 days), and 76% in patients who received other regimens (median survival time 223 days). Initial treatment with BDex+AA was associated with decreased mortality after multivariable adjustment (hazard ratio: 0.209; 95% confidence interval: 0.069 to 0.636; p = 0.006). This association remained after further adjustment for components of the Mayo Stage. CONCLUSIONS: Use of BDex+AA in the treatment of AL amyloidosis in patients presenting with symptomatic heart failure is associated with improved survival after adjusting for clinical variables.","Sperry BW, Ikram A, Hachamovitch R, Valent J, Vranian MN, Phelan D, Hanna M",J Am Coll Cardiol. 2016 Jun 28;67(25):2941-8. doi: 10.1016/j.jacc.2016.03.593.,S0735-1097(16)32928-X [pii]
Prognostic value of right ventricular longitudinal strain assessed by multimodal imaging in amyloidosis: systematic review and meta-analysis.,"AIMS: Amyloidosis is a progressive and often fatal disease, with right ventricular (RV) involvement emerging as critical determinant of outcomes. This meta-analysis sought to evaluate the prognostic significance of RV longitudinal strain parameters in patients with amyloidosis. METHODS AND RESULTS: Eligible studies reporting on the association between RV free-wall longitudinal strain (RV-FWLS) and RV global longitudinal strain (RV-GLS) assessed by echocardiography or cardiac magnetic resonance (CMR) with adverse outcomes were included. Using an inversely weighted random-effects meta-analysis, pooled hazard ratios (HRs) with 95% confidence intervals (CIs) were calculated for all-cause mortality and a composite endpoint of all-cause death or heart failure hospitalization per 1% lower RV strain values. Eighteen studies with low-to-moderate risk of bias (Newcastle-Ottawa scale) and encompassing 1772 patients [mean age 68.8 ± 8.8 years; 57.3% with light-chain amyloidosis (AL)], were analysed. 210 patients experienced the composite outcome (median [inter-quartile range] follow-up: 1.5 [0.6] years) and 628 died [median follow-up: 2.6 (1.6) years]. 2D speckle-tracking RV-FWLS was associated with all-cause mortality (HR: 1.10; 95% CI: 1.07-1.13; I² = 8.6%) and the composite outcome (HR: 1.06; 95% CI: 1.02-1.10; I² = 0%). Similarly, 2D speckle-tracking RV-GLS was associated with all-cause mortality (HR: 1.10; 95% CI: 1.07-1.13; I² = 8.6%). Subgroup and meta-regression analysis confirmed consistency across amyloid subtypes, study design, presence of cardiac involvement, follow-up duration, and strain analysis software. In AL amyloidosis, CMR-based RV-GLS also predicted all-cause mortality (HR: 1.06; 95% CI: 1.03-1.09; I² = 0%). CONCLUSION: RV longitudinal strain parameters are powerful and robust predictors of adverse outcomes in amyloidosis.","Herrera-Flores J, Vernooij RWM, Ghosh AK, Wechalekar A, Cheng RK, Keramida K, Anguita M, Sanchez PL, Perez Del Villar C, Herrera-Flores C",Eur Heart J Cardiovasc Imaging. 2025 Sep 30;26(10):1644-1661. doi: 10.1093/ehjci/jeaf216.,8223554 [pii]
Cardiac Amyloidosis: Role of the Endomyocardial Biopsy.,"Amyloidosis is characterized by protein misfolding and extracellular deposition of insoluble beta-sheet fibrils. It represents a heterogeneous disease with different aetiologies and clinical manifestations. Cardiac involvement (ie, cardiac amyloidosis) has an adverse prognosis, early diagnosis and amyloid typing being crucial for treatment. Recently, the non-invasive diagnosis of CA has increased using imaging techniques, particularly in TTR forms with no monoclonal protein. In the other settings and with inconclusive peripheral biopsy, the EMB allows the demonstration of amyloid by Congo red staining under polarized light, whereas amyloid typing is performed by using immunohistochemistry, immune-electron microscopy and/or proteomics.","Musetti V, Greco F, Aimo A, Castiglione V, Vergaro G, Panichella G, Limongelli G, Merlo M, Emdin M, Pucci A",Heart Fail Clin. 2024 Jul;20(3S):e23-e31. doi: 10.1016/j.hfc.2024.09.007. Epub 2024 Nov 5.,S1551-7136(24)00084-9 [pii]
Mass Spectrometry Amyloid Typing Is Reproducible across Multiple Organ Sites.,"We have determined patient's amyloid subtype through immunohistochemical and proteomic analyses of formalin-fixed, paraffin-embedded (FFPE) tissue samples from two affected organs per patient. Amyloid typing, via immunohistochemistry (IHC) and laser microdissection followed by the combination of liquid chromatography with mass spectrometry (LMD-LC-MS), was performed using tissue samples of the human heart, liver, kidney, tongue, and small intestine from 11 patients, and the results were compared with clinical data. LMD-LC-MS correctly typed AL amyloidosis in all 22 FFPE tissue samples despite tissue origin. In contrast, IHC was successful only in the analysis of eight FFPE tissue samples with differences between the examined organs. In the majority of LMD-LC-MS typed samples, the level of IHC staining intensity for transthyretin and serum amyloid A was the same as that for Ig κ and Ig λ antibodies, suggesting low Ig κ or Ig λ antibodies reactivity and the additional antibody clones were essential for correct typing. Both methods used in the study were found to be suitable for amyloid typing, although LMD-LC-MS yielded more promising results than IHC.","Holub D, Flodrova P, Pika T, Flodr P, Hajduch M, Dzubak P",Biomed Res Int. 2019 Jan 31;2019:3689091. doi: 10.1155/2019/3689091. eCollection 2019.,10.1155/2019/3689091 [doi]
Amyloidosis: a unifying diagnosis for nephrotic syndrome and congestive cardiac failure.,"Diagnosing patients simply with heart failure or nephrotic syndrome is insufficient, and clinicians should always search for the underlying causes of these syndromes. Amyloidosis represents a rare group of diseases in which abnormal protein, namely amyloid fibrils, build up in various organs. Presentation depends on which organ systems are involved, and symptoms could include breathlessness associated with fluid overload suggestive of cardiac and/or renal involvement and diarrhoea and weight loss, suggestive of gastrointestinal involvement. The authors present a case of congestive cardiac failure and nephrotic range proteinuria in a patient with persistent fluid overload secondary toamyloid light-chain (AL) amyloidosis.","Sara JDS, Khodadadi R, Barth D, Burton MC",BMJ Case Rep. 2018 Aug 27;2018:bcr2018224317. doi: 10.1136/bcr-2018-224317.,bcr-2018-224317 [pii]
Immunoelectron microscopy and mass spectrometry for classification of amyloid deposits.,"Amyloidosis is a shared name for several rare, complex and serious diseases caused by extra-cellular deposits of different misfolded proteins. Accurate characterization of the amyloid protein is essential for patient care. Immunoelectron microscopy (IEM) and laser microdissection followed by tandem mass spectrometry (LMD-MS) are new gold standards for molecular subtyping. Both methods perform superiorly to immunohistochemistry, but their complementarities, strengths and weaknesses across amyloid subtypes and organ biopsy origin remain undefined. Therefore, we performed a retrospective study of 106 Congo Red positive biopsies from different involved organs; heart, kidney, lung, gut mucosa, skin and bone marrow. IEM, performed with gold-labelled antibodies against kappa light chains, lambda light chains, transthyretin and amyloid A, identified specific staining of amyloid fibrils in 91.6%; in six biopsies amyloid fibrils were not identified, and in two, the fibril subtype could not be established. LMD-MS identified amyloid protein signature in 98.1%, but in nine the amyloid protein could not be clearly identified. MS identified protein subtype in 89.6%. Corresponding specificities ranged at organ level from 94-100%. Concordance was 89.6-100% for different amyloid subtypes. Importantly, combined use of both methods increased the diagnostic classification to 100%. Some variety in performances at organ level was observed.","Abildgaard N, Rojek AM, Møller HE, Palstrøm NB, Nyvold CG, Rasmussen LM, Hansen CT, Beck HC, Marcussen N",Amyloid. 2020 Mar;27(1):59-66. doi: 10.1080/13506129.2019.1688289. Epub 2019 Nov 21.,10.1080/13506129.2019.1688289 [doi]
Circulating ECM proteins decorin and alpha-L-iduronidase differentiate ATTRwt-CM from ATTRwt-negative HFpEF/HFmrEF.,"AIMS: Wild-type transthyretin cardiac amyloidosis (ATTRwt-CM) is an under-recognized aetiology of heart failure (HF), necessitating early detection for timely treatment. Our study aimed to differentiate patients with ATTRwt-CM from ATTRwt-negative HFpEF/HFmrEF patients by identifying and validating circulating protein biomarkers. In addition, we measured the same biomarkers in patients with cardiomyopathy due to light chain amyloidosis (AL)-CM to gain disease-specific insights. METHODS AND RESULTS: In this observational study, serum concentrations of 363 protein biomarkers were measured in a discovery cohort consisting of 73 ATTRwt-CM, 55 AL-CM, and 59 ATTRwt-negative HFpEF/HFmrEF patients, using multiplex proximity extension assays. Sparse partial least squares analyses showed overlapping ATTRwt-CM and AL-CM biomarker profiles with clear visual differentiation from ATTRwt-negative patients. Pathway analyses with g:Profiler revealed significantly up-regulated proteoglycans (PG) and cell adhesion pathways in both ATTRwt-CM and AL-CM. Penalized regression analysis revealed that the proteoglycan decorin (DCN), lysosomal hydrolase alpha-L-iduronidase (IDUA) and glycosyl hydrolase galactosidase β-1 (GLB-1) most effectively distinguished ATTRwt-CM from ATTRwt-negative patients (R2 = 0.71). In a prospective validation cohort of 35 ATTRwt-CM patients and 25 ATTRwt-negative patients, DCN and IDUA significantly predicted ATTRwt-CM in the initial analysis (DCN: OR 3.3, IDUA: OR 0.4). While DCN remained significant after correcting for echocardiographic parameters, IDUA did not. DCN showed moderate discriminative ability (AUC, 0.74; 95% CI, 0.61-0.87; sensitivity, 0.91; specificity, 0.52) as did IDUA (AUC, 0.78; 95% CI, 0.65-0.91; sensitivity, 0.91; specificity, 0.61). A model combining clinical factors (AUC 0.92) outperformed DCN but not IDUA, a combination of the biomarkers was not significantly better. Neither DCN nor IDUA correlated with established disease markers. CONCLUSION: ATTRwt-CM has a distinctly different biomarker profile compared with HFpEF/HFmrEF, while ATTRwt-CM patients share a similar biomarker profile with AL-CM patients characterized by up-regulation of proteoglycans and cell-adhesion pathways. The biomarkers DCN and IDUA show the potential to serve as an initial screening tool for ATTTRwt-CM. Further research is needed to determine the clinical usefulness of these and other extracellular matrix components in identifying ATTRwt-CM.","Tubben A, Markousis-Mavrogenis G, Meems LMG, van Essen BJ, Baumhove L, Berends M, Tingen HSA, Bijzet J, Hazenberg BPC, Voors AA, van Veldhuisen DJ, Slart RHJA, Nienhuis HLA, van der Meer P",Cardiovasc Res. 2024 Nov 25;120(14):1727-1736. doi: 10.1093/cvr/cvae189.,7759338 [pii]
Identification of amyloidosis of the urinary tract and prostate: Opportunities for early diagnosis & intervention in systemic disease.,"OBJECTIVES: To determine the prevalence of different amyloid types and frequency of associated systemic amyloidosis in the urinary tract/prostate. METHODS: We studied Congo red-positive prostate (n = 150) and urinary tract (n = 767) specimens typed by a proteomics-based method between 2008 and 2020. Clinical follow up was available for a subset (urinary tract, n = 111; prostate, n = 17). Amyloid types were correlated with various clinicopathologic features. For patients with clinical follow up, chart review was performed to establish localized versus systemic disease, frequency of initial diagnosis of amyloidosis on urinary tract/prostate specimens, presence of cardiac disease, and death from disease-related complications. RESULTS: The most common amyloid types were AL/AH in urinary tract (479/767, 62 %) and localized ASem1 in prostate (64/150, 43 %). Urinary tract AL/AH amyloid was usually localized, but systemic AL amyloidosis occurred in both sites (urinary tract: 5/71, 7 %; prostate: 2/2, 100 %). ATTR amyloidosis was seen in over a third of cases (urinary tract: 286/767, 37 %; prostate: 55/150, 37 %). Urinary tract/prostate was the site of the initial ATTR amyloidosis diagnosis in 44/48 patients (92 %), and 38/48 (79 %) were subsequently found to have cardiac involvement. Seminal vesicle/ejaculatory duct involvement was pathognomonic for ASem1-type amyloidosis (39/39, 100 %). CONCLUSIONS: Over 40 % of patients had systemic amyloidosis, with urinary tract/prostate often the first site in which amyloid was identified. Since early recognition of systemic amyloidosis is critical for optimal patient outcomes, there should be a low threshold to perform Congo red stain. Proteomics-based amyloid typing is recommended since treatment depends on correctly identifying the amyloid type.","Gilani SI, Dasari S, Tekin B, Hernandez LH, Cheville JC, Jimenez RE, Rech KL, Dao LN, Howard MT, Dalland JC, Chiu A, Theis JD, Vrana JA, Grogan M, Thompson RH, Leibovich BC, Karnes RJ, Boorjian SA, Dispenzieri A, McPhail ED, Gupta S",Hum Pathol. 2023 Dec;142:62-67. doi: 10.1016/j.humpath.2023.11.001. Epub 2023 Nov 17.,S0046-8177(23)00221-6 [pii]
